                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     41,                 1.1103,                 1.0709,                 1.4074,                 1.2264,                 1.3034,                 1.4401,                0.64375,                0.39468,                0.40109,                0.27213,                 1.4372,                 1.9563,                 1.7275,                 1.5633,                 2.3954,                 1.7771,              0.0011642,              0.0011642,              0.0011642
                     42,                 1.0999,                 1.0949,                 1.3903,                 1.2035,                 1.3411,                 1.4211,                0.56179,                0.36355,                0.37629,                0.25301,                 1.4923,                 2.0119,                 1.7531,                 1.6234,                 2.3206,                 1.8129,              0.0011513,              0.0011513,              0.0011513
                     43,                 1.0781,                 1.0499,                 1.3922,                  1.194,                  1.276,                  1.432,                0.46911,                0.50264,                  0.425,                0.28445,                 1.4083,                 1.7375,                 1.6854,                 1.4855,                 2.1004,                 1.7194,              0.0011384,              0.0011384,              0.0011384
                     44,                 1.0852,                 1.0529,                 1.3858,                 1.2018,                   1.26,                 1.4075,                0.50025,                0.44112,                0.42598,                  0.291,                 1.4039,                 1.8385,                 1.7227,                 1.5221,                 2.2731,                 1.7595,              0.0011255,              0.0011255,              0.0011255
                     45,                 1.0705,                 1.0354,                 1.3762,                 1.1861,                   1.26,                 1.4081,                0.61739,                0.40195,                0.45649,                 0.3199,                 1.3295,                 1.8414,                 1.6525,                 1.4929,                 2.2308,                 1.6673,              0.0011126,              0.0011126,              0.0011126
                     46,                 1.0505,                 1.0367,                 1.3807,                 1.1638,                 1.2521,                 1.4103,                 0.5795,                0.41031,                0.43047,                0.29554,                 1.3628,                 1.9379,                 1.6549,                  1.515,                 2.3664,                 1.7091,              0.0010997,              0.0010997,              0.0010997
                     47,                 1.0576,                 1.0414,                 1.3756,                 1.1656,                 1.2428,                  1.409,                0.64099,                0.44738,                0.46091,                0.30919,                  1.383,                 1.9489,                 1.6639,                 1.5144,                 2.2702,                 1.6997,              0.0010868,              0.0010868,              0.0010868
                     48,                 1.0536,                0.99835,                 1.3375,                 1.1654,                 1.2013,                 1.3658,                 0.5622,                0.47884,                0.43772,                0.29878,                  1.432,                 2.0297,                 1.7058,                 1.5292,                   2.39,                  1.714,              0.0010739,              0.0010739,              0.0010739
                     49,                 1.0303,                  1.016,                 1.3612,                 1.1456,                 1.2427,                 1.3935,                0.50198,                0.45776,                0.43752,                0.29597,                 1.3964,                 1.9107,                 1.7043,                 1.5091,                 2.1955,                 1.7172,               0.001061,               0.001061,               0.001061
                     50,                 1.0345,                0.98323,                 1.3462,                  1.149,                 1.1866,                 1.3743,                 0.4844,                0.50705,                0.42943,                0.28567,                 1.4811,                 1.8676,                 1.7551,                 1.5525,                 2.2801,                 1.7311,              0.0010481,              0.0010481,              0.0010481
                     51,                 1.0352,                0.97772,                 1.3583,                 1.1554,                 1.1803,                 1.3872,                0.46697,                0.49909,                0.39921,                 0.2597,                 1.3842,                 1.9551,                 1.6968,                 1.5212,                 2.4687,                 1.7208,              0.0010352,              0.0010352,              0.0010352
                     52,                 1.0243,                 1.0038,                 1.3596,                 1.1351,                 1.2415,                 1.3978,                0.57866,                0.42075,                0.38634,                0.26648,                 1.3857,                 2.1611,                 1.6819,                  1.493,                 2.6918,                 1.7258,              0.0010223,              0.0010223,              0.0010223
                     53,                 1.0118,                0.98287,                 1.3367,                 1.1279,                 1.1927,                 1.3708,                0.52741,                0.47622,                0.43621,                0.29823,                 1.3959,                 1.9831,                 1.6989,                 1.4758,                 2.3216,                 1.7086,              0.0010094,              0.0010094,              0.0010094
                     54,                0.99156,                0.92592,                 1.3099,                 1.1207,                 1.1191,                 1.3464,                0.55371,                0.43132,                0.37488,                0.24809,                 1.4329,                 2.0795,                 1.6795,                 1.5514,                  2.527,                  1.721,             0.00099655,             0.00099655,             0.00099655
                     55,                   1.01,                0.97229,                 1.3323,                  1.117,                 1.1842,                 1.3641,                0.47211,                0.48814,                0.43843,                0.30902,                 1.3886,                 1.7635,                 1.6736,                 1.5047,                 2.1826,                  1.705,             0.00098366,             0.00098366,             0.00098366
                     56,                0.98304,                0.90922,                 1.3103,                 1.0931,                 1.1059,                 1.3397,                0.50095,                0.45249,                0.41717,                0.28879,                 1.4232,                   1.87,                 1.7311,                 1.4848,                 2.2292,                 1.7534,             0.00097077,             0.00097077,             0.00097077
                     57,                0.98505,                0.92826,                 1.3141,                 1.0918,                 1.1399,                 1.3534,                0.60534,                 0.4566,                0.47333,                0.32052,                 1.3726,                 1.7166,                 1.6795,                 1.4656,                 2.0829,                 1.6973,             0.00095787,             0.00095787,             0.00095787
                     58,                0.96315,                0.91691,                 1.2954,                 1.0748,                 1.1217,                 1.3336,                0.54897,                0.47579,                 0.4425,                0.30815,                 1.3942,                  1.872,                 1.6942,                 1.4974,                 2.2405,                 1.7395,             0.00094498,             0.00094498,             0.00094498
                     59,                0.96574,                0.91191,                 1.3055,                 1.0809,                 1.1098,                 1.3351,                0.52206,                0.48147,                0.44902,                0.31254,                 1.3528,                 1.8184,                 1.6641,                 1.4707,                 2.1744,                 1.7274,             0.00093209,             0.00093209,             0.00093209
