                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                 1.2987,                 1.0156,                  1.281,                 1.6685,                 1.5094,                 1.2589,                0.43069,                0.36021,                0.30265,                0.18861,                 1.5093,                 1.5615,                 1.3959,                 1.8894,                 2.3304,                 1.3431,              0.0010868,              0.0010868,              0.0010868
                     48,                 1.2784,                0.99297,                 1.2615,                  1.651,                 1.4921,                 1.2366,                0.43538,                0.38285,                0.32034,                0.20578,                 1.4462,                 1.3766,                 1.3428,                 1.9109,                  2.223,                 1.3186,              0.0010739,              0.0010739,              0.0010739
                     49,                  1.298,                 1.0114,                 1.2764,                 1.6826,                 1.5394,                  1.258,                0.45386,                0.38459,                0.32597,                0.19544,                  1.492,                 1.4352,                 1.3835,                  1.917,                 2.1208,                 1.3281,               0.001061,               0.001061,               0.001061
                     50,                 1.2732,                0.98889,                 1.2538,                 1.6461,                  1.495,                 1.2323,                0.47339,                0.36315,                0.32296,                0.20264,                  1.467,                 1.5274,                 1.3572,                 1.8913,                 2.2394,                 1.3263,              0.0010481,              0.0010481,              0.0010481
                     51,                 1.2534,                0.95814,                 1.2445,                 1.6395,                 1.4573,                 1.2253,                0.51921,                0.32709,                0.31844,                0.19768,                 1.5156,                 1.5577,                  1.392,                 1.8913,                 2.2795,                 1.3229,              0.0010352,              0.0010352,              0.0010352
                     52,                 1.2608,                0.97749,                 1.2426,                 1.6503,                 1.4944,                 1.2262,                0.43334,                0.39686,                  0.327,                0.20008,                 1.4761,                 1.4691,                 1.3563,                 1.8906,                 2.1292,                 1.3202,              0.0010223,              0.0010223,              0.0010223
                     53,                 1.2617,                0.99345,                 1.2499,                 1.6465,                  1.493,                 1.2371,                0.44326,                0.37937,                0.31989,                0.20919,                 1.4444,                  1.496,                 1.3383,                 1.8429,                 2.1913,                 1.3048,              0.0010094,              0.0010094,              0.0010094
                     54,                 1.2531,                0.97519,                 1.2506,                 1.6467,                 1.4985,                 1.2306,                0.49491,                0.37444,                0.34827,                0.21263,                 1.4839,                 1.3642,                 1.3743,                 1.8418,                 2.0901,                 1.3075,             0.00099655,             0.00099655,             0.00099655
                     55,                 1.2263,                 0.9435,                 1.2149,                 1.6229,                 1.4515,                 1.2002,                0.42576,                0.34996,                0.29111,                0.18862,                 1.4198,                 1.5758,                 1.3379,                  1.871,                 2.3828,                 1.3139,             0.00098366,             0.00098366,             0.00098366
                     56,                 1.2197,                0.92795,                 1.2239,                 1.6093,                 1.4206,                  1.207,                0.46111,                  0.398,                0.33538,                0.21519,                 1.4336,                 1.3374,                 1.3327,                 1.8738,                 2.1559,                 1.2928,             0.00097077,             0.00097077,             0.00097077
                     57,                 1.1891,                0.90289,                 1.2078,                 1.5872,                 1.4163,                 1.1975,                0.43698,                0.38321,                 0.3259,                0.21128,                 1.4221,                 1.4222,                 1.2897,                 1.8398,                 2.1621,                 1.2504,             0.00095787,             0.00095787,             0.00095787
                     58,                 1.1965,                0.92888,                 1.2155,                 1.5793,                 1.4339,                 1.2017,                0.51947,                0.34664,                0.33403,                0.21006,                  1.419,                 1.4201,                 1.3154,                 1.8352,                  2.145,                 1.2731,             0.00094498,             0.00094498,             0.00094498
                     59,                 1.1723,                 0.9235,                 1.2003,                 1.5696,                 1.4266,                 1.1904,                0.39257,                0.38161,                0.31724,                 0.1945,                 1.4434,                 1.4578,                 1.3532,                 1.8451,                 2.1992,                 1.3174,             0.00093209,             0.00093209,             0.00093209
                     60,                 1.2128,                0.93681,                 1.2297,                 1.6071,                 1.4525,                 1.2156,                0.42929,                0.36805,                 0.3056,                0.19906,                 1.4486,                 1.4781,                 1.3657,                 1.8609,                 2.1746,                 1.3136,             0.00091919,             0.00091919,             0.00091919
                     61,                 1.1751,                0.89569,                 1.2013,                  1.564,                 1.3928,                 1.1855,                0.47604,                0.35401,                0.33069,                0.21208,                 1.4072,                 1.4527,                 1.3417,                 1.7842,                  2.132,                 1.2777,              0.0009063,              0.0009063,              0.0009063
                     62,                 1.1717,                0.88023,                 1.2075,                 1.5469,                 1.3617,                 1.1933,                0.39136,                 0.4034,                0.31269,                0.19517,                  1.457,                 1.4433,                 1.3644,                 1.8362,                 2.0984,                 1.3028,             0.00089341,             0.00089341,             0.00089341
                     63,                 1.1715,                0.89712,                 1.2078,                 1.5644,                 1.4013,                 1.1969,                0.46501,                0.38876,                0.33824,                0.20949,                 1.4769,                 1.3757,                 1.3637,                 1.8672,                 2.1385,                 1.3062,             0.00088051,             0.00088051,             0.00088051
                     64,                 1.1748,                0.92169,                 1.2025,                 1.5714,                 1.4351,                 1.1901,                0.43521,                0.41489,                0.31862,                0.20088,                 1.4528,                 1.4279,                   1.37,                 1.8123,                  2.059,                 1.3149,             0.00086762,             0.00086762,             0.00086762
                     65,                  1.146,                0.87331,                 1.1864,                 1.5349,                 1.3518,                 1.1802,                0.44726,                0.42063,                0.35237,                 0.2161,                 1.4437,                 1.3518,                 1.3601,                 1.7988,                 2.0003,                 1.3072,             0.00085473,             0.00085473,             0.00085473
                     66,                 1.1341,                0.86372,                 1.1811,                  1.535,                 1.3337,                 1.1717,                0.44748,                 0.3926,                0.32818,                0.20326,                 1.4782,                 1.4235,                 1.3892,                 1.8214,                 2.1187,                 1.3159,             0.00084184,             0.00084184,             0.00084184
                     67,                 1.1223,                0.85686,                 1.1803,                   1.52,                 1.3412,                 1.1736,                0.43684,                0.40722,                0.34244,                0.21087,                 1.4722,                 1.3677,                 1.3616,                 1.8736,                  2.112,                 1.3053,             0.00082894,             0.00082894,             0.00082894
                     68,                 1.1443,                0.87849,                 1.1699,                 1.5647,                 1.3719,                 1.1627,                0.43301,                0.38233,                0.31712,                0.20293,                 1.4335,                 1.4678,                 1.3544,                 1.8098,                 2.2151,                  1.277,             0.00081605,             0.00081605,             0.00081605
                     69,                 1.1146,                0.84501,                 1.1754,                 1.4909,                 1.2977,                 1.1693,                0.49249,                0.38539,                0.32327,                0.21752,                 1.3891,                 1.4257,                 1.3137,                 1.8014,                 2.1304,                 1.2779,             0.00080316,             0.00080316,             0.00080316
                     70,                 1.1063,                0.83716,                 1.1592,                 1.4934,                 1.3002,                 1.1543,                0.45704,                0.36595,                 0.3307,                0.21174,                 1.4594,                 1.4344,                 1.3628,                 1.8136,                 2.1568,                 1.3272,             0.00079026,             0.00079026,             0.00079026
                     71,                 1.1184,                0.84936,                   1.17,                 1.5211,                 1.3532,                 1.1678,                0.50016,                0.38773,                0.34405,                0.21486,                 1.4769,                 1.3708,                 1.3999,                 1.7815,                 2.1207,                 1.2991,             0.00077737,             0.00077737,             0.00077737
                     72,                 1.0863,                0.81862,                 1.1518,                 1.4965,                 1.3187,                 1.1504,                0.48313,                0.38449,                0.34156,                0.21753,                 1.3826,                 1.3469,                 1.3383,                 1.7928,                 2.0804,                  1.301,             0.00076448,             0.00076448,             0.00076448
                     73,                 1.1021,                0.82748,                 1.1438,                 1.4991,                 1.3021,                 1.1427,                0.51616,                0.37116,                 0.3398,                0.21824,                 1.4333,                 1.3396,                 1.3698,                 1.8104,                 2.0676,                 1.3121,             0.00075158,             0.00075158,             0.00075158
                     74,                 1.0861,                0.80149,                 1.1592,                 1.4824,                 1.2689,                 1.1611,                0.49103,                0.36921,                 0.3289,                 0.2092,                 1.4372,                  1.432,                 1.3872,                 1.8128,                 2.1119,                 1.3335,             0.00073869,             0.00073869,             0.00073869
                     75,                 1.1058,                0.82398,                 1.1574,                 1.4926,                 1.2992,                 1.1552,                0.43437,                0.41227,                0.33661,                0.21832,                 1.4337,                 1.4068,                 1.3799,                 1.8332,                 2.1376,                 1.3342,              0.0007258,              0.0007258,              0.0007258
                     76,                 1.0766,                0.80035,                 1.1487,                 1.4575,                 1.2513,                 1.1494,                0.49874,                0.37605,                0.33481,                  0.214,                 1.4288,                 1.3691,                 1.3811,                 1.8052,                  2.117,                 1.2925,              0.0007129,              0.0007129,              0.0007129
                     77,                 1.0587,                0.79248,                 1.1371,                 1.4484,                 1.2752,                 1.1427,                0.47855,                0.38775,                0.34737,                0.22499,                 1.3974,                 1.3759,                 1.3561,                  1.813,                 2.1583,                 1.3201,             0.00070001,             0.00070001,             0.00070001
                     78,                 1.0519,                0.77144,                 1.1222,                 1.4371,                 1.2064,                 1.1282,                0.47907,                0.38373,                0.33974,                0.21889,                 1.4098,                 1.4176,                 1.3682,                 1.7849,                 2.1553,                 1.3087,             0.00068712,             0.00068712,             0.00068712
